Time,Title,Link,Content
06/06/2024 00:00,ACB: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 4.466.657.912 cp,https://s.cafef.vn/ACB-2003971/acb-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-4466657912-cp.chn,"ACB: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 4.466.657.912 cp
Ngân hàng Thương mại Cổ phần Á Châu thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết như sau:
Các tập tin đính kèm
20240606_20240606 - ACB - TB thay doi so luong co phieu co quyen bieu quyet.pdf

    Theo HOSE"
06/06/2024 00:00,ACB: Đã phát hành 582.607.554 cổ phiếu để trả cổ tức,https://s.cafef.vn/ACB-2003972/acb-da-phat-hanh-582607554-co-phieu-de-tra-co-tuc.chn,"ACB: Đã phát hành 582.607.554 cổ phiếu để trả cổ tức
Ngân hàng Thương mại Cổ phần Á Châu báo cáo kết quả đợt phát hành cổ phiếu để trả cổ tức như sau:
Các tập tin đính kèm
20240606_20240606 - ACB - bao cao ket qua dot phat co phieu de tra co tuc.pdf
Theo HOSE"
24/05/2024 00:00,"ACB: 31.5.2024, ngày GDKHQ trả cổ tức năm 2023 bằng tiền (tỷ lệ 10%), trả cổ tức bằng cp (tỷ lệ 100:15)",https://s.cafef.vn/ACB-1998692/acb-3152024-ngay-gdkhq-tra-co-tuc-nam-2023-bang-tien-ty-le-10-tra-co-tuc-bang-cp-ty-le-10015.chn,"ACB: 31.5.2024, ngày GDKHQ trả cổ tức năm 2023 bằng tiền (tỷ lệ 10%), trả cổ tức bằng cp (tỷ lệ 100:15)
Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo ngày ĐKCC trả cổ tức năm 2023 bằng tiền và cổ phiếu của Ngân hàng Thương mại Cổ phần Á Châu (mã CK:ACB) như sau:
Các tập tin đính kèm
20240524_20240524 - ACB - TB Chot DS tra co tuc nam 2023 bang tien va co phieu.pdf

    Theo HOSE"
23/05/2024 00:00,ACB: Thông báo phát hành cổ phiếu để trả cổ tức năm 2023,https://s.cafef.vn/ACB-1997017/acb-thong-bao-phat-hanh-co-phieu-de-tra-co-tuc-nam-2023.chn,"ACB: Thông báo phát hành cổ phiếu để trả cổ tức năm 2023
Ngân hàng Thương mại Cổ phần Á Châu thông báo phát hành cổ phiếu để trả cổ tức năm 2023 như sau:
Các tập tin đính kèm
20240523_20240523 - ACB - TB phat hanh co phieu de tra co tuc 2023.pdf

    Theo HOSE"
23/05/2024 00:00,ACB: Thông báo ngày ĐKCC để thực hiện quyền trả cổ tức năm 2023 bằng tiền và cổ phiếu,https://s.cafef.vn/ACB-1997072/acb-thong-bao-ngay-dkcc-de-thuc-hien-quyen-tra-co-tuc-nam-2023-bang-tien-va-co-phieu.chn,"ACB: Thông báo ngày ĐKCC để thực hiện quyền trả cổ tức năm 2023 bằng tiền và cổ phiếu
Ngân hàng Thương mại Cổ phần Á Châu thông báo ngày ĐKCC để thực hiện quyền trả cổ tức năm 2023 bằng tiền và cổ phiếu như sau:
Các tập tin đính kèm
20240523_20240523 - ACB - TB ve ngay dang ky cuoi cung de thuc hien quyen tra co tuc 2023.pdf

    Theo HOSE"
17/05/2024 00:00,ACB: Nghị quyết HĐQT ngày 16/05/2024,https://s.cafef.vn/ACB-1993611/acb-nghi-quyet-hdqt-ngay-16052024.chn,"ACB: Nghị quyết HĐQT ngày 16/05/2024
Ngân hàng Thương mại Cổ phần Á Châu thông báo Nghị quyết HĐQT ngày 16/05/2024 như sau:
Các tập tin đính kèm
20240517_20240517 - ACB - NQ HDQT ngay 16.5.2024.pdf

    Theo HOSE"
14/05/2024 00:00,ACB: Thông báo thay đổi giấy chứng nhận ĐKDN,https://s.cafef.vn/ACB-1992258/acb-thong-bao-thay-doi-giay-chung-nhan-dkdn.chn,"ACB: Thông báo thay đổi giấy chứng nhận ĐKDN
Ngân hàng Thương mại Cổ phần Á Châu thông báo thay đổi giấy chứng nhận ĐKDN như sau:
Các tập tin đính kèm
20240514_20240514 - ACB - Thay doi noi dung DKDN.pdf


    Theo HOSE"
01/05/2024 10:02,Ông Trần Mộng Hùng - Người sáng lập ACB đã qua đời ở tuổi 72,https://s.cafef.vn/ACB-1985073/ong-tran-mong-hung-nguoi-sang-lap-acb-da-qua-doi-o-tuoi-72.chn,"Ông Trần Mộng Hùng - Người sáng lập ACB đã qua đời ở tuổi 72
Ông Trần Mộng Hùng, nhà sáng lập ngân hàng ACB, Tổng Giám Đốc đầu tiên và Chủ tịch HĐQT (1994 – 2008), Thành viên HĐQT (2012 – 2018), Phó Chủ nhiệm Ủy Ban Quản Lý Rủi Ro (2018 – 2023), đã từ trần vào ngày 25/04/2024, hưởng thọ 72 tuổi.
Ông Trần Mộng Hùng sinh năm 1953, quê quán tại Tiền Giang. Ông tốt nghiệp Cử nhân chuyên ngành Ngân hàng tại Trường Đại học Kinh tế TP.Hồ Chí Minh. Vợ ông Hùng là bà Đặng Thu Thủy (hiện là thành viên HĐQT ACB), gia đình ông có 3 người con: Trần Đặng Thu Thảo, Trần Hùng Huy (hiện tại đang đảm nhiệm vị trí Chủ tịch HĐQT ACB) và Trần Minh Hoàng. 
Ông Trần Mộng Hùng là doanh nhân nổi bật trong ngành ngân hàng, đã sáng lập và xây dựng ACB trở thành một trong những ngân hàng tư nhân hàng đầu tại Việt Nam.
Năm 1993, ông Hùng cùng hai cổ đông khác là ông Phạm Trung Cang, ông Trịnh Kim Quang, sáng lập nên Ngân hàng TMCP Á Châu (ACB) với số vốn điều lệ ban đầu 20 tỷ đồng. Ông Trần Mộng Hùng là Tổng giám đốc đầu tiên, đồng thời cũng là người nắm giữ chiếc ghế Chủ tịch HĐQT của ACB xuyên suốt giai đoạn 1994 – 2008.
Theo chia sẻ của ACB, trong hơn 30 năm ACB hoạt động, ông Trần Mộng Hùng được biết đến như là một nhà lãnh đạo có tầm nhìn xa với tinh thần kinh doanh thượng tôn pháp luật và tính thực tiễn, hiệu quả. Ông còn là một lãnh đạo tận tâm với nhân viên, với tổ chức.
Từ những ngày đầu tiên, với tầm nhìn phát triển hài hòa, lâu dài cùng xã hội, Ông Trần Mộng Hùng đã điều hành ACB bằng sự thận trọng, đặt tính minh bạch lên hàng đầu. Điều này trở thành phương thức kinh doanh đặc trưng, giúp ACB hoạt động hiệu quả, vững vàng trong mọi bối cảnh. Ông cũng đã chứng minh thận trọng không hạn chế sự tiến bộ, mà sẽ là nền tảng phát huy những cái mới. Sự thực hành nghiêm túc của ông đã giúp ACB xây dựng được hệ giá trị cốt lõi là kim chỉ nam cho mọi hoạt động của ACB, gồm Chính trực, Cẩn trọng, Cách tân, Hài Hoà, Hiệu quả. 
Trong thời gian ông lãnh đạo trực tiếp, Ngân hàng đã ghi dấu ấn về sáng tạo và đổi mới. ACB là ngân hàng đầu tiên tại Việt Nam áp dụng công nghệ lõi ngân hàng (core banking), giúp khách hàng giao dịch thuận lợi mọi nơi; là ngân hàng đầu tiên phát hành thẻ tín dụng quốc tế MasterCard và triển khai dịch vụ chuyển tiền nhanh quốc tế Western Union, đánh dấu sự kết nối giữa ACB với các công ty tài chính toàn cầu. Những quyết định tiên phong của ông đã phản ánh tinh thần học hỏi liên tục, nhạy bén ứng dụng công nghệ mới của ACB. Từ nền tảng đó, ACB đã phát triển mạnh mẽ, đóng góp vào sự phát triển chung của ngành ngân hàng.
Theo đuổi triết lý ""con người là quan trọng nhất"", ông đã đặt nền tảng cho phong cách Quản Trị Nhân Sự mà ACB thực thi. Ông tin rằng chìa khóa của thành công không chỉ là con số, mà còn ở chính những con người tạo nên các thành tựu đó. ACB đã xây dựng một môi trường làm việc nhân văn, nơi sự an tâm và phát triển cá nhân được đặt lên hàng đầu, nơi mỗi thành viên đều được trân trọng. Sự quan tâm sâu sắc của ông đối với phát triển con người đã tạo ra các thế hệ lãnh đạo kế thừa tài năng cùng đội ngũ nhân viên chất lượng, trung thành. Đây cũng chính là điểm khác biệt, lợi thế cạnh tranh lớn nhất của ACB cho đến hiện nay.
Với tâm huyết và tài năng của mình, ông Trần Mộng Hùng đã dẫn dắt ACB vượt qua những giai đoạn khó khăn bằng sự lãnh đạo kết hợp hài hòa giữa ba quan điểm rõ nét về phong cách quản trị, văn hóa doanh nghiệp và phát triển con người. Ông cũng đã cống hiến hết tài năng, sức lực, trí tuệ và hoàn thành trọn vẹn trách nhiệm của một Người ACB, vì một ACB phát triển vững mạnh, lâu dài.
Lan Anh"
10/04/2024 00:00,ACB: Điều lệ công ty 2024,https://s.cafef.vn/ACB-1975167/acb-dieu-le-cong-ty-2024.chn,"ACB: Điều lệ công ty 2024
Ngân hàng Thương mại Cổ phần Á Châu thông báo Điều lệ công ty như sau:
Các tập tin đính kèm
20240410_20240410 - ACB - CBTT Dieu le cong ty ngay 09.4.2024.pdf

    Theo HOSE"
05/04/2024 00:00,ACB: Biên bản họp và Nghị quyết ĐHĐCĐ thường niên năm 2024,https://s.cafef.vn/ACB-1972038/acb-bien-ban-hop-va-nghi-quyet-dhdcd-thuong-nien-nam-2024.chn,"ACB: Biên bản họp và Nghị quyết ĐHĐCĐ thường niên năm 2024
Ngân hàng Thương mại Cổ phần Á Châu thông báo Biên bản họp và Nghị quyết ĐHĐCĐ thường niên năm 2024 như sau:
Các tập tin đính kèm
20240405_20240405 - ACB - Nghi quyet, Bien ban DHDCDTN 2024.pdf

    Theo HOSE"
